pincode,officename,divisionname,statename
504307,Mukhra (B),Adilabad,Telangana
504209,Mulkala,Adilabad,Telangana
504214,Mulkalpet,Adilabad,Telangana
504205,Mulmadugu,Adilabad,Telangana
504202,Munial,Adilabad,Telangana
504299,Munjampalli,Adilabad,Telangana
504346,Muthnur,Adilabad,Telangana
504308,Muthnur,Adilabad,Telangana
504299,Muthyampet,Adilabad,Telangana
504219,Mylaram,Adilabad,Telangana
504203,Nachan Yelcapur,Adilabad,Telangana
504311,Nagalkonda,Adilabad,Telangana
504311,Nagapur,Adilabad,Telangana
504201,Nagapur,Adilabad,Telangana
504214,Nakkalapally,Adilabad,Telangana
504292,Nambal,Adilabad,Telangana
504207,Namnoor,Adilabad,Telangana
504214,Nandarampally,Adilabad,Telangana
504292,Narayanpur,Adilabad,Telangana
504311,Narnoor,Adilabad,Telangana
504307,Narsapur,Adilabad,Telangana
504346,Narsapur,Adilabad,Telangana
504104,Narsapur (Adilabad),Adilabad,Telangana
504204,Naseerabad,Adilabad,Telangana
504302,Naspur,Adilabad,Telangana
504106,Natrajnagar,Adilabad,Telangana
504292,Navegaon,Adilabad,Telangana
504214,Neelwai,Adilabad,Telangana
504219,Nennel,Adilabad,Telangana
504323,Neradigonda,Adilabad,Telangana
504313,Netnoor,Adilabad,Telangana
504104,New Pipri,Adilabad,Telangana
504103,Nigwa,Adilabad,Telangana
504309,Nirala,Adilabad,Telangana
504106,Nirmal (Adilabad),Adilabad,Telangana
504109,Ola,Adilabad,Telangana
504296,Old Town,Adilabad,Telangana
504311,Ootnur,Adilabad,Telangana
504299,Ootsurangapalli,Adilabad,Telangana
504105,Pakpatla,Adilabad,Telangana
504308,Palli (B),Adilabad,Telangana
504104,Panchagudi,Adilabad,Telangana
504313,Pangdi,Adilabad,Telangana
504297,Pangidimadra,Adilabad,Telangana
504299,Papannapet,Adilabad,Telangana
504103,Pardi (B),Adilabad,Telangana
504304,Pardi (K),Adilabad,Telangana
504299,Pardi,Adilabad,Telangana
504310,Parimandal,Adilabad,Telangana
504201,Parpally,Adilabad,Telangana
504105,Parpally,Adilabad,Telangana
504208,Patha Mancherial,Adilabad,Telangana
504203,Patha Yelcapur,Adilabad,Telangana
504304,Patnapur,Adilabad,Telangana
504311,Patnapur,Adilabad,Telangana
504207,Peddampet,Adilabad,Telangana
504206,Peddapet,Adilabad,Telangana
504202,Peddur,Adilabad,Telangana
504105,Peechara,Adilabad,Telangana
504216,Pegdapally,Adilabad,Telangana
504203,Pembi,Adilabad,Telangana
504296,Penchikalpet,Adilabad,Telangana
504309,Pendalwada,Adilabad,Telangana
504109,Pendapally,Adilabad,Telangana
504251,Perkapally,Adilabad,Telangana
504313,Phulara,Adilabad,Telangana
504002,Pippaldhari,Adilabad,Telangana
504312,Pippalkoti,Adilabad,Telangana
504346,Pipri,Adilabad,Telangana
504307,Pipri,Adilabad,Telangana
504304,Pochera,Adilabad,Telangana
504002,Pochera,Adilabad,Telangana
504201,Pokkur,Adilabad,Telangana
504251,Police Colony,Adilabad,Telangana
504310,Ponkal,Adilabad,Telangana
504205,Ponkal,Adilabad,Telangana
504110,Ponkur,Adilabad,Telangana
504216,Ponnaram,Adilabad,Telangana
504002,Ponnari,Adilabad,Telangana
504307,Powna,Adilabad,Telangana
504216,Pownur,Adilabad,Telangana
504346,Pulimadugu,Adilabad,Telangana
504103,Pulsi,Adilabad,Telangana
504102,Puspur,Adilabad,Telangana
504205,Qawal,Adilabad,Telangana
504207,Raipally,Adilabad,Telangana
504104,Raipur Kandli,Adilabad,Telangana
504310,Rajura,Adilabad,Telangana
504104,Rajura,Adilabad,Telangana
504002,Ramai,Adilabad,Telangana
504301,Ramakrishnapur,Adilabad,Telangana
504306,Rampur,Adilabad,Telangana
504307,Rampur,Adilabad,Telangana
504313,Rasimetta,Adilabad,Telangana
504296,Raspalli,Adilabad,Telangana
504106,Ratnapur Kandli,Adilabad,Telangana
504215,Rebbanapally,Adilabad,Telangana
504219,Rebbena,Adilabad,Telangana
504299,Rebbena,Adilabad,Telangana
504292,Rebbena,Adilabad,Telangana
504273,Rechini,Adilabad,Telangana
504272,Repallewada,Adilabad,Telangana
504202,Revojipet,Adilabad,Telangana
504107,RGU IIIT Campus Basar,Adilabad,Telangana
504297,Rompalli,Adilabad,Telangana
504296,Rp Colony,Adilabad,Telangana
504312,Ruyyadi,Adilabad,Telangana
504002,Saidpur,Adilabad,Telangana
504346,Salewada,Adilabad,Telangana
504311,Sangvi,Adilabad,Telangana
504309,Sangvi,Adilabad,Telangana
504296,Sanjeevnagar,Adilabad,Telangana
504110,Sarangapur,Adilabad,Telangana
504203,Sathanapalli,Adilabad,Telangana
504309,Sawapur,Adilabad,Telangana
504103,Sawli,Adilabad,Telangana
504346,Shampur,Adilabad,Telangana
504308,Shantapur,Adilabad,Telangana
504251,Shanthi Khani,Adilabad,Telangana
504216,Shetpally,Adilabad,Telangana
504313,Shettihadapnur,Adilabad,Telangana
504105,Siddalkunta,Adilabad,Telangana
504302,Singapur,Adilabad,Telangana
504307,Sirchelma,Adilabad,Telangana
504306,Sirgapur,Adilabad,Telangana
504307,Sirkonda,Adilabad,Telangana
504299,Sirpur (T),Adilabad,Telangana
504313,Sirpur (U),Adilabad,Telangana
504296,Sirpur Khagaznagar,Adilabad,Telangana
504201,Sirsa,Adilabad,Telangana
504309,Sirsanna,Adilabad,Telangana
504308,Sitagondi,Adilabad,Telangana
504105,Soan,Adilabad,Telangana
504307,Soanpally,Adilabad,Telangana
504251,Somagudem Coal Mines,Adilabad,Telangana
504201,Somanpally,Adilabad,Telangana
504304,Sonala,Adilabad,Telangana
504103,Sonari,Adilabad,Telangana
504303,Srirampur Colony,Adilabad,Telangana
504001,Station Road (Adilabad),Adilabad,Telangana
504204,Suddal,Adilabad,Telangana
504312,Sunkidi,Adilabad,Telangana
504109,Sunkli,Adilabad,Telangana
504293,Surdapur,Adilabad,Telangana
504203,Surjapur,Adilabad,Telangana
504311,Tadihadapnur,Adilabad,Telangana
504307,Talamadri,Adilabad,Telangana
504312,Talamadugu,Adilabad,Telangana
504206,Tallapet,Adilabad,Telangana
504299,Talodi,Adilabad,Telangana
504312,Tamsi,Adilabad,Telangana
504310,Tandra,Adilabad,Telangana
504272,Tandur (A),Adilabad,Telangana
504002,Tantoli,Adilabad,Telangana
504102,Tanur,Adilabad,Telangana
504206,Tapalpur,Adilabad,Telangana
504323,Tarnam,Adilabad,Telangana
504216,Tekumatla,Adilabad,Telangana
504307,Tembi,Adilabad,Telangana
504109,Thammapur,Adilabad,Telangana
504209,Thimmapur,Adilabad,Telangana
504297,Tiryani,Adilabad,Telangana
504308,Tosham,Adilabad,Telangana
504002,Toyaguda,Adilabad,Telangana
504294,Tumpalli,Adilabad,Telangana
504296,Tungeda,Adilabad,Telangana
504205,Udumpur,Adilabad,Telangana
504294,Ullipittadorli,Adilabad,Telangana
504346,Umri,Adilabad,Telangana
504313,Ushegaon,Adilabad,Telangana
504215,Velagnur,Adilabad,Telangana
504214,Vemanpally,Adilabad,Telangana
504296,Vempalli,Adilabad,Telangana
504209,Vempalli,Adilabad,Telangana
504110,Vengwapet,Adilabad,Telangana
504106,Venkatapur,Adilabad,Telangana
504219,Venkatapur,Adilabad,Telangana
504206,Venkatapur,Adilabad,Telangana
504215,Venkatraopet,Adilabad,Telangana
504106,Waddial,Adilabad,Telangana
504323,Waddur,Adilabad,Telangana
504346,Wadgaon,Adilabad,Telangana
504308,Waghapur,Adilabad,Telangana
504323,Wankidi,Adilabad,Telangana
504295,Wankidi,Adilabad,Telangana
504251,Wegaon,Adilabad,Telangana
504216,Wellal,Adilabad,Telangana
504002,Yapalguda,Adilabad,Telangana
504102,Yedbid,Adilabad,Telangana
504106,Yellapalli,Adilabad,Telangana
504293,Yellaram,Adilabad,Telangana
504101,Yellawath,Adilabad,Telangana
504105,Yelmal,Adilabad,Telangana
504346,Yenda,Adilabad,Telangana
506144,Abadighanpur,Hanamkonda,Telangana
506343,Abbapur,Hanamkonda,Telangana
506145,Abdulnagaram,Hanamkonda,Telangana
506169,Adavikamalapur,Hanamkonda,Telangana
506355,Ainapur,Hanamkonda,Telangana
506366,Akinepalli,Hanamkonda,Telangana
506172,Akinepalli Mallaram,Hanamkonda,Telangana
506342,Akkampet,Hanamkonda,Telangana
506224,Akkarajpalli,Hanamkonda,Telangana
506223,Aknoor,Hanamkonda,Telangana
506221,Alimpur,Hanamkonda,Telangana
506224,Ammapur,Hanamkonda,Telangana
506371,Ananthasagar,Hanamkonda,Telangana
506352,Ankannagudem,Hanamkonda,Telangana
506367,Ankushapur,Hanamkonda,Telangana
506303,Appireddipalli,Hanamkonda,Telangana
506223,Arjunpatla,Hanamkonda,Telangana
506244,Aswaraopalli,Hanamkonda,Telangana
506342,Atmakur (Warangal),Hanamkonda,Telangana
506169,Azamnagar,Hanamkonda,Telangana
506224,Bandanagaram,Hanamkonda,Telangana
506343,Bandarupalli,Hanamkonda,Telangana
506244,Banjipet,Hanamkonda,Telangana
506003,Bapujinagar (Warangal),Hanamkonda,Telangana
506344,Beeravelli,Hanamkonda,Telangana
506345,Bhagirathipet,Hanamkonda,Telangana
506367,Bhairanpalli,Hanamkonda,Telangana
506003,Bhatpally,Hanamkonda,Telangana
506015,Bheemaram,Hanamkonda,Telangana
506169,Bhupalapalli,Hanamkonda,Telangana
506367,Bikkal,Hanamkonda,Telangana
506347,Bittupalli,Hanamkonda,Telangana
506349,Bollonipalli,Hanamkonda,Telangana
506252,Bommera,Hanamkonda,Telangana
506172,Borenarsapur,Hanamkonda,Telangana
506172,Brahmanpalli,Hanamkonda,Telangana
506172,Buchannapet,Hanamkonda,Telangana
506221,Buchannapet,Hanamkonda,Telangana
506345,Budharam,Hanamkonda,Telangana
506344,Bussapur,Hanamkonda,Telangana
506165,Buttaigudem,Hanamkonda,Telangana
506301,Chagal,Hanamkonda,Telangana
506170,Chainpak,Hanamkonda,Telangana
506356,Challagarige,Hanamkonda,Telangana
506344,Chalvai,Hanamkonda,Telangana
506303,Cheetur,Hanamkonda,Telangana
506165,Chelpak,Hanamkonda,Telangana
506168,Chelpur,Hanamkonda,Telangana
506319,Chennapur,Hanamkonda,Telangana
506391,Cherlapalli,Hanamkonda,Telangana
506172,Cherupalli,Hanamkonda,Telangana
506145,Chilpur,Hanamkonda,Telangana
506221,China Raman Cherla,Hanamkonda,Telangana
506223,Chinchinkota,Hanamkonda,Telangana
506165,Chinnaboinapalli,Hanamkonda,Telangana
506319,Chinnakodepak,Hanamkonda,Telangana
506144,Chinnapendyal,Hanamkonda,Telangana
506015,Chintagattu,Hanamkonda,Telangana
506223,Chiryal,Hanamkonda,Telangana
506175,Chitakodur,Hanamkonda,Telangana
506355,Chityal,Hanamkonda,Telangana
506356,Chityal,Hanamkonda,Telangana
506342,Chowlapalli,Hanamkonda,Telangana
506391,Chowtaparthy,Hanamkonda,Telangana
506172,Chunchupalli,Hanamkonda,Telangana
506011,D H Suthoon,Hanamkonda,Telangana
506221,Dabbakunta Palli,Hanamkonda,Telangana
506348,Dammannapet,Hanamkonda,Telangana
506355,Danampalli,Hanamkonda,Telangana
506352,Devagiripatnam,Hanamkonda,Telangana
506370,Devannapet,Hanamkonda,Telangana
506302,Devaruppal,Hanamkonda,Telangana
506371,Devnoor,Hanamkonda,Telangana
506144,Dharmapuram,Hanamkonda,Telangana
506302,Dharmapuram,Hanamkonda,Telangana
506367,Dharmaram,Hanamkonda,Telangana
506345,Dharmaraopet,Hanamkonda,Telangana
506142,Dharmasagar,Hanamkonda,Telangana
506367,Dhulmitta,Hanamkonda,Telangana
506172,Domeda,Hanamkonda,Telangana
506223,Dommat,Hanamkonda,Telangana
506349,Dongalasingaram,Hanamkonda,Telangana
506356,Dubyal,Hanamkonda,Telangana
506344,Dumpaligudem,Hanamkonda,Telangana
506356,Empaid,Hanamkonda,Telangana
506165,Etur,Hanamkonda,Telangana
506165,Eturunagaram,Hanamkonda,Telangana
506301,Fathepur,Hanamkonda,Telangana
506244,Fatheshapur,Hanamkonda,Telangana
506004,Fatimanagar,Hanamkonda,Telangana
506244,Gabbeta,Hanamkonda,Telangana
506367,Gagillapur,Hanamkonda,Telangana
506221,Gangapur,Hanamkonda,Telangana
506344,Gangaram,Hanamkonda,Telangana
506348,Gangireni Gudem,Hanamkonda,Telangana
506175,Gangupahad,Hanamkonda,Telangana
506356,Garimillapalli,Hanamkonda,Telangana
506143,Garmillapalli,Hanamkonda,Telangana
506319,Gatlakaniparthy,Hanamkonda,Telangana
506345,Ghanpur (Mulug),Hanamkonda,Telangana
506143,Ghanpur Station,Hanamkonda,Telangana
506169,Gollabudharam,Hanamkonda,Telangana
506302,Gollapalli,Hanamkonda,Telangana
506170,Gopalpur,Hanamkonda,Telangana
506168,Gorlavaid,Hanamkonda,Telangana
506301,Govardanagiri,Hanamkonda,Telangana
506344,Govindaraopet,Hanamkonda,Telangana
506252,Gudur,Hanamkonda,Telangana
506201,Gummadavalli,Hanamkonda,Telangana
506168,Gurrampaet,Hanamkonda,Telangana
506165,Gurrevula,Hanamkonda,Telangana
506223,Gurujakunta,Hanamkonda,Telangana
506355,Guruvannapet,Hanamkonda,Telangana
506145,Gutta,Hanamkonda,Telangana
506001,Hanamkonda,Hanamkonda,Telangana
506175,Hanumanthapur,Hanamkonda,Telangana
506371,Hasanparthy,Hanamkonda,Telangana
506319,Hussainpalli,Hanamkonda,Telangana
506244,Ibrahimpur,Hanamkonda,Telangana
506165,Ilapuram,Hanamkonda,Telangana
506343,Inchencherupalli,Hanamkonda,Telangana
506352,Incherla,Hanamkonda,Telangana
506252,Ippaguda,Hanamkonda,Telangana
506244,Iravennur,Hanamkonda,Telangana
506366,Issipet,Hanamkonda,Telangana
506221,Itikalapalli,Hanamkonda,Telangana
506170,Jadalpet,Hanamkonda,Telangana
506348,Jaggaiahpet,Hanamkonda,Telangana
506343,Jaggannapet,Hanamkonda,Telangana
506343,Jakaram,Hanamkonda,Telangana
506367,Jalapalli,Hanamkonda,Telangana
506151,Janakipuram,Hanamkonda,Telangana
506352,Jangalapally,Hanamkonda,Telangana
506175,Jangaon Bazar,Hanamkonda,Telangana
506167,Jangaon,Hanamkonda,Telangana
506371,Jayagiri,Hanamkonda,Telangana
506201,Jeedikal,Hanamkonda,Telangana
506169,Jhengaid,Hanamkonda,Telangana
